TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Offence Against a Person,2003,12,24,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,10,13,14,39,4XX W GEORGIA ST,Central Business District,491614.2,5458653.54
Theft of Vehicle,2003,07,25,14,30,12XX E BROADWAY AVE,Mount Pleasant,494326.19,5456633.3
Theft from Vehicle,2003,02,19,08,00,10XX GREAT NORTHERN WAY,Mount Pleasant,493950.89,5456976.0
Theft of Vehicle,2003,06,30,14,35,12XX E BROADWAY AVE,Mount Pleasant,494216.45,5456625.68
Break and Enter Residential/Other,2003,08,31,10,20,5XX HOMER ST,Central Business District,491795.14,5458836.39
Mischief,2003,02,23,09,50,10XX HOWE ST,Central Business District,490880.28,5458486.41
Break and Enter Residential/Other,2003,07,30,23,00,5XX HOMER ST,Central Business District,491843.22,5458872.29
Theft from Vehicle,2003,07,29,03,02,3XX E 5TH AVE,Mount Pleasant,492818.23,5457066.89
Mischief,2003,12,18,20,00,10XX HOWE ST,Central Business District,490880.45,5458473.52
Theft from Vehicle,2003,11,12,18,30,7XX ROBSON ST,Central Business District,491218.84,5458800.83
Theft from Vehicle,2003,10,08,16,00,4XX W GEORGIA ST,Central Business District,491614.2,5458653.54
Theft of Vehicle,2003,05,22,20,00,12XX E 8TH AVE,Mount Pleasant,494228.55,5456729.41
Theft of Vehicle,2003,06,24,18,30,12XX E 7TH AVE,Mount Pleasant,494229.41,5456830.38
Theft from Vehicle,2003,01,03,14,45,7XX ROBSON ST,Central Business District,491218.84,5458800.83
Theft of Vehicle,2003,08,31,21,30,12XX E 64TH AVE,Sunset,494023.79,5451019.15
Mischief,2003,05,19,07,00,10XX HOWE ST,Central Business District,490891.06,5458484.35
Theft of Vehicle,2003,08,21,07,30,12XX E 64TH AVE,Sunset,494023.79,5451019.15
Mischief,2003,06,16,02,30,13XX E 54TH AVE,Sunset,494162.7,5451964.86
Other Theft,2003,02,03,19,30,30XX GRANVILLE ST,Fairview,489910.36,5456241.76
Mischief,2003,06,23,01,00,13XX E 57TH AVE,Sunset,494224.19,5451704.89
Other Theft,2003,01,18,19,45,30XX GRANVILLE ST,Fairview,489910.36,5456241.76
Theft from Vehicle,2003,10,16,06,01,15XX DAVIE ST,West End,489981.44,5459100.59
Theft from Vehicle,2003,08,29,17,50,4XX W GEORGIA ST,Central Business District,491614.2,5458653.54
Break and Enter Residential/Other,2003,10,15,07,41,5XX JERVIS ST,Central Business District,490887.98,5459618.36
Theft from Vehicle,2003,11,04,18,00,15XX DAVIE ST,West End,489981.44,5459100.59
Theft from Vehicle,2003,12,05,13,00,43XX NW MARINE DR,West Point Grey,485144.69,5457752.71
Theft from Vehicle,2003,05,06,19,00,4XX W GEORGIA ST,Central Business District,491614.2,5458653.54
Theft of Vehicle,2003,09,01,12,00,12XX E 63RD AVE,Sunset,494063.51,5451118.82
Theft from Vehicle,2003,03,21,19,20,4XX W GEORGIA ST,Central Business District,491614.2,5458653.54
Break and Enter Residential/Other,2003,11,23,09,10,5XX KASLO ST,Hastings-Sunrise,496609.23,5458560.5
Theft of Vehicle,2003,01,27,20,00,12XX E 63RD AVE,Sunset,494063.51,5451118.82
Theft from Vehicle,2003,04,11,08,00,2XX TERMINAL AVE,Strathcona,492826.73,5457749.63
Theft from Vehicle,2003,10,23,08,30,43XX NW MARINE DR,West Point Grey,485144.69,5457752.71
Theft from Vehicle,2003,02,24,21,00,4XX W GEORGIA ST,Central Business District,491614.2,5458653.54
Mischief,2003,04,04,16,45,10XX PACIFIC ST,West End,490246.8,5458367.41
Mischief,2003,06,23,17,30,10XX HOWE ST,Central Business District,490901.66,5458495.19
Theft from Vehicle,2003,09,21,12,00,10XX W 37TH AVE,Shaughnessy,490677.3,5453878.37
Mischief,2003,12,22,19,10,LAUREL ST / W 33RD AVE,South Cambie,490903.25,5454290.7
Mischief,2003,02,01,23,32,1XX W PENDER ST,Central Business District,492073.21,5458730.26
Theft from Vehicle,2003,11,11,16,00,15XX DAVIE ST,West End,489981.44,5459100.59
Theft of Vehicle,2003,01,30,20,00,12XX E 62ND AVE,Sunset,494053.96,5451222.7
Theft from Vehicle,2003,08,09,10,30,43XX NW MARINE DR,West Point Grey,485144.69,5457752.71
Offence Against a Person,2003,04,20,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,05,26,15,00,3XX E 5TH AVE,Mount Pleasant,492818.23,5457066.89
Mischief,2003,03,29,23,30,10XX HOWE ST,Central Business District,490912.26,5458506.02
Mischief,2003,04,14,22,15,10XX HOWE ST,Central Business District,490912.26,5458506.02
Theft of Vehicle,2003,03,22,19,30,12XX E 61ST AVE,Sunset,494053.82,5451318.37
Mischief,2003,04,18,20,35,10XX HOWE ST,Central Business District,490912.26,5458506.02
Break and Enter Commercial,2003,03,07,18,00,10XX W GEORGIA ST,West End,491141.89,5459124.42
Mischief,2003,10,13,22,30,10XX HOWE ST,Central Business District,490912.26,5458506.02
Mischief,2003,11,03,21,00,17XX ISLAND AVE,Victoria-Fraserview,494816.71,5450798.79
Mischief,2003,06,08,17,30,21XX SCOTIA ST,Mount Pleasant,492815.31,5457066.52
Mischief,2003,04,23,01,00,13XX E 61ST AVE,Sunset,494238.97,5451325.56
Theft of Vehicle,2003,10,14,17,00,12XX E 60TH AVE,Sunset,494055.98,5451414.8
Theft from Vehicle,2003,02,15,14,00,3XX E 5TH AVE,Mount Pleasant,492818.23,5457066.89
Break and Enter Residential/Other,2003,01,02,08,25,11XX BARCLAY ST,West End,490749.3,5458973.9
Break and Enter Residential/Other,2003,01,20,15,30,11XX BARCLAY ST,West End,490749.3,5458973.9
Theft from Vehicle,2003,07,01,00,00,10XX GREAT NORTHERN WAY,Strathcona,494040.91,5456959.05
Break and Enter Residential/Other,2003,02,21,10,30,5XX KEEFER ST,Strathcona,493288.93,5458509.32
Break and Enter Residential/Other,2003,03,20,20,00,5XX KEEFER ST,Strathcona,493294.13,5458509.17
Mischief,2003,06,19,13,30,18XX GREER AVE,Kitsilano,489274.01,5457869.1
Break and Enter Residential/Other,2003,01,30,00,30,11XX BARCLAY ST,West End,490749.3,5458973.9
Theft of Vehicle,2003,08,29,21,00,12XX E 59TH AVE,Sunset,494059.66,5451514.91
Break and Enter Residential/Other,2003,04,13,21,00,11XX BARCLAY ST,West End,490749.3,5458973.9
Theft from Vehicle,2003,10,20,19,00,11XX ALBERNI ST,West End,490951.05,5459229.55
Theft of Vehicle,2003,11,13,08,00,12XX E 55TH AVE,Sunset,494080.83,5451877.44
Theft of Vehicle,2003,01,28,11,20,12XX E 54TH AVE,Sunset,494057.45,5451967.4
Theft from Vehicle,2003,04,13,20,30,2XX E 5TH AVE,Mount Pleasant,492721.92,5457070.28
Theft of Vehicle,2003,12,04,23,00,12XX E 53RD AVE,Sunset,494070.97,5452117.35
Break and Enter Residential/Other,2003,10,13,17,00,5XX MAIN ST,Central Business District,492743.24,5458597.59
Break and Enter Residential/Other,2003,05,30,12,30,11XX BARCLAY ST,West End,490749.3,5458973.9
Theft from Vehicle,2003,03,07,09,00,7XX ROBSON ST,Central Business District,491212.0,5458807.49
Theft from Vehicle,2003,07,19,00,30,12XX BROUGHTON ST,West End,490086.45,5458997.16
Break and Enter Residential/Other,2003,09,02,11,00,11XX BARCLAY ST,West End,490749.3,5458973.9
Theft of Vehicle,2003,11,21,02,00,12XX E 47TH AVE,Sunset,494083.69,5452779.21
Theft from Vehicle,2003,08,12,08,00,12XX BURNABY ST,West End,490118.78,5458809.08
Theft from Vehicle,2003,02,11,09,00,12XX BURNABY ST,West End,490152.26,5458787.77
Mischief,2003,02,23,02,00,20XX W 62ND AVE,Kerrisdale,488836.8,5451377.88
Offence Against a Person,2003,01,26,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft of Vehicle,2003,01,27,23,30,12XX E 33RD AVE,Kensington-Cedar Cottage,494199.38,5454160.13
Theft from Vehicle,2003,09,15,10,00,11XX ALBERNI ST,West End,490951.05,5459229.55
Theft from Vehicle,2003,02,19,00,00,12XX BURNABY ST,West End,490152.26,5458787.77
Other Theft,2003,01,06,01,58,FRANKLIN ST / KASLO ST,Hastings-Sunrise,496606.42,5458812.95
Mischief,2003,02,24,20,01,1XX W PENDER ST,Central Business District,492073.21,5458730.26
Theft of Vehicle,2003,06,30,01,54,12XX E 33RD AVE,Kensington-Cedar Cottage,494169.59,5454161.04
Break and Enter Commercial,2003,04,15,18,00,10XX W HASTINGS ST,Central Business District,491360.49,5459439.56
Break and Enter Commercial,2003,05,31,16,00,10XX W HASTINGS ST,Central Business District,491360.49,5459439.56
Break and Enter Commercial,2003,06,27,17,30,10XX W HASTINGS ST,Central Business District,491360.49,5459439.56
Theft of Vehicle,2003,05,12,22,00,12XX E 28TH AVE,Kensington-Cedar Cottage,494174.36,5454738.84
Mischief,2003,03,11,18,25,1XX W PENDER ST,Central Business District,492073.21,5458730.26
Mischief,2003,05,10,17,30,13XX HARWOOD ST,West End,489982.4,5458802.36
Break and Enter Commercial,2003,10,06,02,50,10XX W HASTINGS ST,Central Business District,491360.49,5459439.56
Break and Enter Commercial,2003,11,07,17,40,10XX W HASTINGS ST,Central Business District,491360.49,5459439.56
Break and Enter Commercial,2003,12,30,18,00,10XX W HASTINGS ST,Central Business District,491360.49,5459439.56
Theft from Vehicle,2003,02,19,15,00,12XX BURNABY ST,West End,490152.26,5458787.77
Other Theft,2003,10,05,14,54,11XX ROBSON ST,West End,490795.02,5459233.32
Theft from Vehicle,2003,02,19,18,00,12XX BURNABY ST,West End,490152.26,5458787.77
Theft from Vehicle,2003,02,20,06,35,12XX BURNABY ST,West End,490152.26,5458787.77
Other Theft,2003,05,29,22,04,11XX ROBSON ST,West End,490795.02,5459233.32
Theft from Vehicle,2003,03,10,16,00,12XX BURNABY ST,West End,490152.26,5458787.77
Break and Enter Residential/Other,2003,05,23,12,00,5XX MOBERLY RD,Fairview,491459.08,5457235.65
Break and Enter Residential/Other,2003,07,08,22,15,5XX MOBERLY RD,Fairview,491459.08,5457235.65
Break and Enter Residential/Other,2003,09,07,06,00,5XX MOBERLY RD,Fairview,491459.08,5457235.65
Break and Enter Residential/Other,2003,11,13,05,00,5XX MOBERLY RD,Fairview,491459.08,5457235.65
Break and Enter Residential/Other,2003,11,25,22,00,5XX MOBERLY RD,Fairview,491459.08,5457235.65
Break and Enter Residential/Other,2003,12,20,14,00,5XX MOBERLY RD,Fairview,491459.08,5457235.65
Other Theft,2003,08,06,22,15,11XX ROBSON ST,West End,490795.02,5459233.32
Other Theft,2003,07,28,20,28,11XX ROBSON ST,West End,490795.02,5459233.32
Theft of Vehicle,2003,03,09,05,00,12XX E 24TH AVE,Kensington-Cedar Cottage,494183.49,5455138.52
Other Theft,2003,07,25,22,00,11XX ROBSON ST,West End,490795.02,5459233.32
Theft from Vehicle,2003,09,11,19,45,4XX W GEORGIA ST,Central Business District,491581.34,5458686.11
Theft from Vehicle,2003,06,19,18,30,29XX COMMERCIAL DR,Kensington-Cedar Cottage,494921.16,5456183.98
Offence Against a Person,2003,11,20,,,OFFSET TO PROTECT PRIVACY,,0,0
Other Theft,2003,04,28,14,55,11XX PACIFIC BLVD,Central Business District,491329.92,5457967.6
Theft from Vehicle,2003,05,17,08,15,28XX ASH ST,Fairview,491445.69,5456409.73
Break and Enter Commercial,2003,03,29,05,00,8XX BIDWELL ST,West End,490232.47,5459728.54
Break and Enter Commercial,2003,01,26,18,30,10XX W HASTINGS ST,Central Business District,491386.31,5459438.41
Break and Enter Commercial,2003,06,02,17,30,10XX W HASTINGS ST,Central Business District,491386.31,5459438.41
Other Theft,2003,05,07,22,49,11XX ROBSON ST,West End,490795.02,5459233.32
Other Theft,2003,02,23,14,49,11XX ROBSON ST,West End,490795.02,5459233.32
Break and Enter Residential/Other,2003,11,14,07,40,11XX BARCLAY ST,West End,490749.3,5458973.9
Theft of Vehicle,2003,08,13,09,57,12XX E 22ND AVE,Kensington-Cedar Cottage,494188.6,5455342.32
Theft of Vehicle,2003,03,03,08,25,12XX E 22ND AVE,Kensington-Cedar Cottage,494188.6,5455342.32
Theft of Vehicle,2003,06,05,21,00,12XX E 20TH AVE,Kensington-Cedar Cottage,494193.7,5455541.59
Theft of Vehicle,2003,05,08,19,00,12XX E 20TH AVE,Kensington-Cedar Cottage,494193.7,5455541.59
Theft from Vehicle,2003,07,29,19,00,4XX W GEORGIA ST,Central Business District,491581.34,5458686.11
Break and Enter Residential/Other,2003,11,24,10,00,11XX BARCLAY ST,West End,490749.3,5458973.9
Mischief,2003,08,10,13,30,18XX BEACH AVE,West End,489643.73,5459365.15
Theft from Vehicle,2003,03,25,09,30,4XX W CORDOVA ST,Central Business District,492003.46,5459047.46
Theft of Vehicle,2003,03,29,15,50,12XX E 18TH AVE,Kensington-Cedar Cottage,494197.24,5455742.04
Theft from Vehicle,2003,12,15,16,00,3XX E 58TH AVE,Sunset,492730.56,5451641.94
Theft from Vehicle,2003,10,22,15,40,3XX E 58TH AVE,Sunset,492730.56,5451641.94
Mischief,2003,05,14,19,30,1XX W PENDER ST,Central Business District,492073.21,5458730.26
Mischief,2003,09,02,04,44,66XX MAIN ST,Sunset,492601.16,5452345.09
Mischief,2003,05,27,11,30,1XX W PENDER ST,Central Business District,492073.21,5458730.26
Theft from Vehicle,2003,08,22,13,00,3XX E 58TH AVE,Sunset,492730.56,5451641.94
Theft of Vehicle,2003,05,28,16,30,12XX E 16TH AVE,Kensington-Cedar Cottage,494200.62,5455943.69
Break and Enter Residential/Other,2003,03,01,14,00,5XX MOBERLY RD,Fairview,491459.18,5457229.01
Break and Enter Residential/Other,2003,05,12,18,00,5XX MOBERLY RD,Fairview,491459.18,5457229.01
Break and Enter Residential/Other,2003,12,13,22,15,5XX MOBERLY RD,Fairview,491459.18,5457229.01
Break and Enter Residential/Other,2003,12,29,01,00,5XX MOBERLY RD,Fairview,491459.18,5457229.01
Mischief,2003,03,13,12,00,13XX MINTO CRES,Shaughnessy,490036.97,5454466.24
Break and Enter Commercial,2003,08,26,16,30,10XX W KING EDWARD AVE,Shaughnessy,490659.67,5455187.06
Mischief,2003,06,11,19,55,1XX W PENDER ST,Central Business District,492073.21,5458730.26
Other Theft,2003,12,11,14,00,30XX GRANDVIEW HWY,Renfrew-Collingwood,496985.96,5456158.85
Other Theft,2003,10,02,14,15,30XX GRANDVIEW HWY,Renfrew-Collingwood,496985.96,5456158.85
Mischief,2003,06,21,08,40,1XX W PENDER ST,Central Business District,492073.21,5458730.26
Mischief,2003,01,20,22,00,17XX KINGSWAY AVE,Kensington-Cedar Cottage,494921.66,5454957.07
Theft from Vehicle,2003,10,05,00,00,2XX E 18TH AVE,Riley Park,492650.8,5455780.17
Mischief,2003,07,09,14,00,5XX E 54TH AVE,Sunset,493191.48,5452012.29
Theft from Vehicle,2003,06,25,00,00,22XX E 41ST AVE,Victoria-Fraserview,495520.03,5453335.39
Break and Enter Commercial,2003,05,25,03,00,10XX W KING EDWARD AVE,Shaughnessy,490702.5,5455186.74
Theft from Vehicle,2003,03,07,22,00,14XX BARCLAY ST,West End,490378.39,5459327.53
Theft from Vehicle,2003,11,30,19,00,3XX E 57TH AVE,Sunset,492790.68,5451736.57
Mischief,2003,06,22,15,00,1XX W PENDER ST,Central Business District,492073.21,5458730.26
Mischief,2003,08,16,17,20,1XX W PENDER ST,Central Business District,492073.21,5458730.26
Offence Against a Person,2003,07,05,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2003,01,29,21,04,5XX DAVIE ST,Central Business District,490955.19,5458133.58
Mischief,2003,12,20,02,00,13XX PENDRELL ST,West End,490212.55,5459039.86
Offence Against a Person,2003,02,11,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,07,29,11,00,10XX W 37TH AVE,Shaughnessy,490572.66,5453883.81
Mischief,2003,01,07,06,00,17XX KINGSWAY AVE,Kensington-Cedar Cottage,494967.44,5454924.43
Theft from Vehicle,2003,03,03,17,00,12XX BURNABY ST,West End,490160.2,5458766.49
Theft of Vehicle,2003,12,25,23,30,12XX E 14TH AVE,Mount Pleasant,494213.67,5456117.14
Theft from Vehicle,2003,03,14,19,00,12XX BURNABY ST,West End,490160.2,5458766.49
Mischief,2003,04,30,01,15,17XX KINGSWAY AVE,Kensington-Cedar Cottage,494967.44,5454924.43
Mischief,2003,10,19,02,47,1XX W PENDER ST,Central Business District,492073.21,5458730.26
Break and Enter Commercial,2003,09,14,21,00,10XX W PENDER ST,Central Business District,491285.38,5459397.87
Theft from Vehicle,2003,04,01,15,30,12XX BURNABY ST,West End,490160.2,5458766.49
Theft from Vehicle,2003,05,25,18,30,3XX E 57TH AVE,Sunset,492790.68,5451736.57
Theft of Vehicle,2003,07,21,04,00,12XX E 13TH AVE,Mount Pleasant,494214.96,5456219.12
Break and Enter Residential/Other,2003,10,08,11,00,5XX N PENTICTON ST,Hastings-Sunrise,496216.46,5459704.46
Break and Enter Residential/Other,2003,01,09,12,30,5XX N RENFREW ST,Hastings-Sunrise,496792.45,5459682.32
Theft of Vehicle,2003,06,14,20,00,12XX E 13TH AVE,Mount Pleasant,494214.96,5456219.12
Mischief,2003,12,14,11,10,1XX W PENDER ST,Central Business District,492073.21,5458730.26
Mischief,2003,03,21,08,00,13XX ROBSON ST,West End,490564.18,5459463.78
Mischief,2003,06,23,03,30,9XX HOMER ST,Central Business District,491282.95,5458306.62
Offence Against a Person,2003,12,31,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft of Vehicle,2003,05,16,19,35,12XX E 13TH AVE,Mount Pleasant,494214.96,5456219.12
Break and Enter Commercial,2003,06,26,21,00,10XX W PENDER ST,Central Business District,491334.31,5459373.68
Offence Against a Person,2003,07,27,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,05,10,18,00,43XX MAIN ST,Riley Park,492631.87,5454909.51
Mischief,2003,08,31,16,00,21XX SE MARINE DR,Victoria-Fraserview,495398.72,5450649.37
Mischief,2003,03,22,10,14,23XX HERMON DR,Hastings-Sunrise,497826.15,5456737.75
Theft of Vehicle,2003,03,13,23,00,12XX E 13TH AVE,Mount Pleasant,494214.96,5456219.12
Break and Enter Residential/Other,2003,06,01,03,24,11XX BEACH AVE,West End,490086.19,5458429.36
Theft of Vehicle,2003,12,26,01,00,12XX E 11TH AVE,Mount Pleasant,494216.27,5456417.45
Theft of Vehicle,2003,12,07,23,30,12XX E 11TH AVE,Mount Pleasant,494216.27,5456417.45
Theft of Vehicle,2003,07,12,23,20,12XX E 11TH AVE,Mount Pleasant,494216.27,5456417.45
Theft of Vehicle,2003,06,29,23,00,12XX E 11TH AVE,Mount Pleasant,494216.27,5456417.45
Other Theft,2003,10,15,20,15,11XX ROBSON ST,West End,490795.02,5459233.32
Theft of Vehicle,2003,06,28,18,00,12XX E 11TH AVE,Mount Pleasant,494216.27,5456417.45
Theft from Vehicle,2003,06,22,05,00,3XX E 57TH AVE,Sunset,492771.42,5451737.13
Break and Enter Residential/Other,2003,12,13,06,00,5XX NICOLA ST,Central Business District,490635.4,5459718.51
Break and Enter Commercial,2003,03,21,18,30,41XX DUNBAR ST,Dunbar-Southlands,486526.21,5455170.44
Theft of Vehicle,2003,03,22,01,00,12XX E 11TH AVE,Mount Pleasant,494216.27,5456417.45
Theft from Vehicle,2003,12,28,21,00,22XX E 41ST AVE,Victoria-Fraserview,495548.9,5453338.08
Mischief,2003,12,29,15,00,8XX BEACH AVE,Central Business District,490405.15,5458008.67
Theft of Vehicle,2003,04,12,17,00,12XX DAVIE ST,West End,490296.85,5458803.07
Theft from Vehicle,2003,02,23,22,00,24XX W 22ND AVE,Arbutus Ridge,488195.48,5455557.93
Other Theft,2003,02,13,15,37,6XX GRANVILLE ST,Central Business District,491445.91,5458896.41
Mischief,2003,11,30,07,20,8XX BEATTY ST,Central Business District,491624.12,5458241.29
Theft of Vehicle,2003,10,17,01,15,12XX DAVIE ST,West End,490292.52,5458794.5
Mischief,2003,04,05,22,00,13XX W 4TH AVE,Fairview,490161.48,5457123.07
Theft from Vehicle,2003,03,10,06,00,22XX E 41ST AVE,Kensington-Cedar Cottage,495688.94,5453346.08
Other Theft,2003,08,17,11,15,11XX ROBSON ST,West End,490795.02,5459233.32
Theft from Vehicle,2003,04,25,17,00,12XX BURNABY ST,West End,490180.91,5458745.2
Theft of Vehicle,2003,02,12,16,10,12XX DAVIE ST,West End,490292.52,5458794.5
Theft from Vehicle,2003,06,23,22,00,14XX BARCLAY ST,West End,490389.21,5459316.59
Theft from Vehicle,2003,06,27,13,00,43XX KNIGHT ST,Kensington-Cedar Cottage,494453.72,5454754.35
Mischief,2003,09,28,15,30,9XX SEYMOUR ST,Central Business District,491207.37,5458509.52
Break and Enter Residential/Other,2003,02,19,04,00,5XX PACIFIC ST,Central Business District,490732.14,5457908.74
Break and Enter Residential/Other,2003,03,05,12,00,5XX PACIFIC ST,Central Business District,490732.14,5457908.74
Mischief,2003,07,11,09,00,11XX ROBSON ST,West End,490887.86,5459140.59
Theft from Vehicle,2003,01,08,11,00,43XX KNIGHT ST,Kensington-Cedar Cottage,494446.36,5454832.07
Theft of Vehicle,2003,04,06,21,00,12XX COMOX ST,West End,490448.31,5458959.31
Break and Enter Residential/Other,2003,08,08,22,00,11XX BEACH AVE,West End,490086.19,5458429.36
Mischief,2003,07,10,00,00,18XX COMOX ST,West End,489767.73,5459636.36
Theft from Vehicle,2003,03,26,19,00,43XX KASLO ST,Renfrew-Collingwood,496575.94,5454828.48
Theft of Vehicle,2003,08,10,00,01,12XX COMOX ST,West End,490446.01,5458948.72
Theft of Vehicle,2003,06,16,22,30,12XX COMOX ST,West End,490446.01,5458948.72
Theft of Vehicle,2003,06,06,22,45,12XX COMOX ST,West End,490446.01,5458948.72
Theft of Vehicle,2003,03,14,22,00,12XX COMOX ST,West End,490446.01,5458948.72
Break and Enter Residential/Other,2003,08,23,21,30,5XX POWELL ST,Strathcona,493249.17,5458922.99
Theft of Vehicle,2003,01,26,22,00,12XX COMOX ST,West End,490446.01,5458948.72
Theft of Vehicle,2003,01,24,18,00,12XX COMOX ST,West End,490446.01,5458948.72
Theft from Vehicle,2003,11,01,21,00,43XX KASLO ST,Renfrew-Collingwood,496575.82,5454809.31
Mischief,2003,08,15,13,00,18XX COMOX ST,West End,489767.73,5459636.36
Break and Enter Commercial,2003,12,01,04,10,41XX FRASER ST,Riley Park,493433.5,5455024.11
Theft of Vehicle,2003,01,26,21,00,12XX COMOX ST,West End,490417.3,5458990.03
Theft from Vehicle,2003,04,02,00,00,12XX BURNABY ST,West End,490193.34,5458732.42
Theft from Vehicle,2003,09,12,21,00,43XX JERICHO CIRC,West Point Grey,485243.18,5457432.6
Break and Enter Residential/Other,2003,08,10,22,10,11XX BEACH AVE,West End,490086.19,5458429.36
Break and Enter Residential/Other,2003,08,14,17,00,5XX POWELL ST,Strathcona,493306.13,5458921.27
Break and Enter Residential/Other,2003,10,08,12,00,5XX POWELL ST,Strathcona,493306.13,5458921.27
Theft of Vehicle,2003,11,11,00,01,12XX COMOX ST,West End,490394.33,5458999.92
Theft from Vehicle,2003,08,08,06,00,3XX E 57TH AVE,Sunset,492732.9,5451738.24
Break and Enter Commercial,2003,12,31,14,30,11XX ALBERNI ST,West End,490894.95,5459283.89
Theft from Vehicle,2003,07,07,19,00,3XX E 57TH AVE,Sunset,492732.9,5451738.24
Theft from Vehicle,2003,06,25,20,30,3XX E 57TH AVE,Sunset,492732.9,5451738.24
Break and Enter Residential/Other,2003,10,27,19,00,5XX POWELL ST,Strathcona,493306.13,5458921.27
Break and Enter Residential/Other,2003,09,14,12,00,11XX BEACH AVE,West End,490086.19,5458429.36
Theft from Vehicle,2003,01,29,17,00,2XX TERMINAL AVE,Strathcona,492774.78,5457763.51
Theft from Vehicle,2003,06,15,18,00,43XX HEATHER ST,South Cambie,491238.53,5454928.31
Theft of Vehicle,2003,05,29,10,30,12XX CLARK DR,Grandview-Woodland,494381.72,5457918.03
Theft from Vehicle,2003,03,07,21,00,24XX ARBUTUS ST,Kitsilano,488881.47,5456894.52
Theft from Vehicle,2003,06,15,23,00,16XX BALSAM ST,Kitsilano,488385.26,5457676.49
Offence Against a Person,2003,08,10,,,OFFSET TO PROTECT PRIVACY,,0,0
Other Theft,2003,06,08,16,00,2XX E PENDER ST,Strathcona,492914.39,5458629.53
Break and Enter Commercial,2003,09,03,05,55,41XX MAIN ST,Riley Park,492637.39,5455057.0
Theft from Vehicle,2003,11,29,20,30,4XX W CORDOVA ST,Central Business District,491996.94,5459041.05
Theft from Vehicle,2003,02,16,23,00,36XX TRINITY ST,Hastings-Sunrise,498139.48,5459658.18
Theft of Vehicle,2003,04,10,21,30,12XX CARTWRIGHT ST,Fairview,490393.6,5457421.78
Theft of Vehicle,2003,06,14,20,00,12XX CARTWRIGHT ST,Fairview,490320.43,5457448.95
Theft from Vehicle,2003,10,20,11,30,4XX W CORDOVA ST,Central Business District,491996.94,5459041.05
Theft from Vehicle,2003,10,19,13,00,4XX W CORDOVA ST,Central Business District,491996.94,5459041.05
Theft of Vehicle,2003,07,23,22,00,12XX CARDERO ST,West End,489916.63,5459167.58
Theft of Vehicle,2003,05,23,15,00,12XX CARDERO ST,West End,489896.04,5459160.12
Theft from Vehicle,2003,03,29,18,00,14XX BEACH AVE,West End,489826.11,5458800.92
Theft from Vehicle,2003,09,11,15,03,4XX W CORDOVA ST,Central Business District,491996.94,5459041.05
Theft of Vehicle,2003,03,30,12,00,12XX CARDERO ST,West End,489896.04,5459160.12
Other Theft,2003,12,15,13,02,2XX E PENDER ST,Strathcona,492904.79,5458629.82
Theft of Vehicle,2003,03,21,19,00,12XX CARDERO ST,West End,489896.04,5459160.12
Theft of Vehicle,2003,03,12,20,00,12XX CARDERO ST,West End,489896.04,5459160.12
Theft of Vehicle,2003,09,12,09,00,12XX CARDERO ST,West End,489880.68,5459144.97
Theft from Vehicle,2003,08,12,13,00,4XX W CORDOVA ST,Central Business District,491996.94,5459041.05
Theft from Vehicle,2003,08,07,21,15,4XX W CORDOVA ST,Central Business District,491996.94,5459041.05
Other Theft,2003,11,05,12,30,2XX E PENDER ST,Strathcona,492904.79,5458629.82
Other Theft,2003,01,29,17,45,11XX ROBSON ST,West End,490795.02,5459233.32
Break and Enter Commercial,2003,02,24,23,47,11XX ALBERNI ST,West End,490959.91,5459220.97
Break and Enter Commercial,2003,12,30,07,00,11XX ALBERNI ST,West End,490959.91,5459220.97
Other Theft,2003,10,22,15,16,2XX E PENDER ST,Strathcona,492904.79,5458629.82
Theft of Vehicle,2003,11,09,10,30,12XX BUTE ST,West End,490301.39,5458785.61
Break and Enter Commercial,2003,07,25,07,07,11XX ALBERNI ST,West End,490962.87,5459218.11
Theft from Vehicle,2003,08,02,15,50,4XX W CORDOVA ST,Central Business District,491996.94,5459041.05
Theft of Vehicle,2003,08,09,20,00,12XX BUTE ST,West End,490301.39,5458785.61
Mischief,2003,01,25,22,20,6X WATER ST,Central Business District,492312.02,5459002.45
Theft of Vehicle,2003,03,21,19,30,12XX BUTE ST,West End,490271.27,5458754.79
Theft from Vehicle,2003,08,09,14,30,12XX BURNABY ST,West End,490211.98,5458713.26
Mischief,2003,12,21,23,05,66XX FRASER ST,Sunset,493381.65,5452346.02
Other Theft,2003,01,11,22,15,11XX ROBSON ST,West End,490795.02,5459233.32
Theft of Vehicle,2003,12,07,12,00,12XX BURRARD ST,Central Business District,490504.01,5458382.86
Theft from Vehicle,2003,11,30,05,00,43XX FRASER ST,Riley Park,493430.79,5454854.36
Break and Enter Residential/Other,2003,10,05,00,08,13XX ADANAC ST,Grandview-Woodland,494427.71,5458330.29
